id,marque,nom,coloris,categorie,image,url_officielle_source,prix_sourcing_eur,prix_vente_eur,marge_eur,marge_pct,statut,notes_mohamed
gd24h-noir,Gerard Darel,Sac 24H,Noir,sacs,gd24h_noir.webp,,,,,,À sourcer,
gd24h-bordeaux,Gerard Darel,Sac 24H,Bordeaux,sacs,gd24h_bordeaux.webp,,,,,,À sourcer,
gd24h-kaki,Gerard Darel,Sac 24H,Kaki,sacs,gd24h_kaki.webp,,,,,,À sourcer,
gd24h-marine,Gerard Darel,Sac 24H,Bleu Marine,sacs,gd24h_marine.webp,,,,,,À sourcer,
gd24h-anthracite,Gerard Darel,Sac 24H,Anthracite,sacs,gd24h_anthracite.webp,,,,,,À sourcer,
gd24h-bronze,Gerard Darel,Sac 24H,Bronze,sacs,gd24h_bronze.webp,,,,,,À sourcer,
lunettes-miumiu,Miu Miu,Lunettes MU 09WS,Noir,lunettes,lunettes_miumiu_noir.jpg,,,,,,À sourcer,
nike-mind-1,Nike,Mind 001,Coloris 1,chaussures,32778953_65548955_1000.webp,,,,,,À sourcer,
nike-mind-2,Nike,Mind 001,Coloris 2,chaussures,33494273_64429580_1000.webp,,,,,,À sourcer,
nike-mind-3,Nike,Mind 001,Coloris 3,chaussures,32778986_65549175_1000.webp,,,,,,À sourcer,
nike-mind-4,Nike,Mind 001,Coloris 4,chaussures,32778950_65549011_1000.webp,,,,,,À sourcer,
nike-mind-5,Nike,Mind 001,Coloris 5,chaussures,34939617_66705441_1000.webp,,,,,,À sourcer,
nike-mind-6,Nike,Mind 001,Coloris 6,chaussures,34940952_66705593_1000.webp,,,,,,À sourcer,
gg-1,Golden Goose,Basket Super Star,Coloris 1,chaussures,15535907_30226687_1000.webp,,,,,,À sourcer,
gg-2,Golden Goose,Basket Super Star,Coloris 2,chaussures,17637815_36808123_1000.webp,,,,,,À sourcer,
gg-3,Golden Goose,Basket Super Star,Coloris 3,chaussures,19193108_42286271_1000.webp,,,,,,À sourcer,
